objectName,reset,Schools,Others,Category,Value
preeducation,All-objects,Moderate,Moderate,school,5171.6
governprimary,All-objects,low,low,school,1247.4
sponsprimary,All-objects,high,high,school,16719.2
governsenior,All-objects,low,low,school,1619.7
sponssenior,All-objects,high,high,school,24773.4
college,All-objects,Moderate,Moderate,school,5172.8
collegesponcomm,All-objects,high,high,others,19002.8
specialeducation,All-objects,low,low,others,2477.8
otheducationapons,All-objects,low,low,others,886.6
schoolsedutv,All-objects,low,low,others,30.8
