objectName,reset,Schools,Others,Category,Value
preeducation,All-objects,Moderate,Moderate,school,5282.2
governprimary,All-objects,low,low,school,1217.9
sponsprimary,All-objects,high,high,school,16149.9
governsenior,All-objects,low,low,school,1610.1
sponssenior,All-objects,high,high,school,24341.9
college,All-objects,low,low,school,3390.9
collegesponcomm,All-objects,high,high,others,18661.7
specialeducation,All-objects,low,low,others,2451.6
otheducationapons,All-objects,low,low,others,952.2
schoolsedutv,All-objects,low,low,others,29.6
